url,Title,Title_link,Authors,Authors_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Author Gender,Author Birth Country,Author Birth Continent
https://swordandlaser.fandom.com/wiki/Book_List,Zeroes,https://swordandlaser.fandom.com/wiki/Zeroes,Chuck Wendig,https://www.goodreads.com/author/show/17152.Chuck_Wendig,Harper Voyager,18-Nov,Nov,2018,114,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2015,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Lovecraft Country,https://swordandlaser.fandom.com/wiki/Lovecraft_Country,Matt Ruff,https://www.goodreads.com/author/show/40577.Matt_Ruff,Harper,18-Oct,Oct,2018,113,https://swordandlaser.fandom.com/wiki/Book_List,Feb,2016,Veronica,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Slan,https://swordandlaser.fandom.com/wiki/Slan,A.E. van Vogt,https://www.goodreads.com/author/show/1293688.A_E_van_Vogt,Orb Books,18-Sep,Sep,2018,112,https://swordandlaser.fandom.com/wiki/Book_List,Sep,1940,Tom,Male,Canada,North America
https://swordandlaser.fandom.com/wiki/Book_List,Jade City,https://swordandlaser.fandom.com/wiki/Jade_City,Fonda Lee,https://www.goodreads.com/author/show/7705004.Fonda_Lee,Orbit,18-Aug,Aug,2018,111,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2017,Veronica,Female,Canada,North America
https://swordandlaser.fandom.com/wiki/Book_List,Mortal Engines,https://swordandlaser.fandom.com/wiki/Mortal_Engines,Philip Reeve,https://www.goodreads.com/author/show/27379.Philip_Reeve,Harper Collins,18-Jul,Jul,2018,110,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2011,Tom,Male,United Kingdom,Europe
https://swordandlaser.fandom.com/wiki/Book_List,Circe,https://swordandlaser.fandom.com/wiki/Circe,Madeline Miller,https://www.goodreads.com/author/show/176372.Madeline_Miller,Lee Boudreaux Books,18-Jun,Jun,2018,109,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2018,Poll,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Night's Master,https://swordandlaser.fandom.com/wiki/Night%27s_Master,Tanith Lee,https://www.goodreads.com/author/show/8694.Tanith_Lee,DAW Books,18-May,May,2018,108,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1978,Veronica,Female,United Kingdom,Europe
https://swordandlaser.fandom.com/wiki/Book_List,Soulless,https://swordandlaser.fandom.com/wiki/Soulless,Gail Carriger,https://www.goodreads.com/author/show/2891665.Gail_Carriger,Orbit,18-Apr,Apr,2018,107a,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2009,March Madness,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,We are Legion We are Bob,https://swordandlaser.fandom.com/wiki/We_are_Legion_We_are_Bob,Dennis E. Taylor,https://www.goodreads.com/author/show/12130438.Dennis_E_Taylor,Worldbuilders Press,18-Apr,Apr,2018,107,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2016,March Madness,Male,Canada,North America
https://swordandlaser.fandom.com/wiki/Book_List,An Unkindness of Ghosts,https://swordandlaser.fandom.com/wiki/An_Unkindness_of_Ghosts,Rivers Solomon,https://www.goodreads.com/author/show/16488815.Rivers_Solomon,Akashic Books,18-Mar,Mar,2018,106,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2017,Tom,Non-binary,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Wrinkle in Time,https://swordandlaser.fandom.com/wiki/A_Wrinkle_in_Time,Madeleine L'Engle,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,"Farrar, Straus and Giroux",18-Feb,Feb,2018,105,https://swordandlaser.fandom.com/wiki/Book_List,,1962,Veronica,Female,United States,North America
