url,Title,Title_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Rating,Ratings,Reviews,Pages,Series,
https://swordandlaser.fandom.com/wiki/Book_List,Jade City,https://swordandlaser.fandom.com/wiki/Jade_City,Orbit,44061,Aug,2018,111,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2017,Veronica,4.02,"6,625",1487,498,The Green Bone Saga #1,
https://swordandlaser.fandom.com/wiki/Book_List,Mortal Engines,https://swordandlaser.fandom.com/wiki/Mortal_Engines,Harper Collins,44030,Jul,2018,110,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2011,Tom,3.78,46647,4927,326,Mortal Engines Quartet #1,
https://swordandlaser.fandom.com/wiki/Book_List,Circe,https://swordandlaser.fandom.com/wiki/Circe,Lee Boudreaux Books,44000,Jun,2018,109,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2018,Poll,4.27,273422,32543,393,,
https://swordandlaser.fandom.com/wiki/Book_List,Night's Master,https://swordandlaser.fandom.com/wiki/Night%27s_Master,DAW Books,43969,May,2018,108,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1978,Veronica,4.03,2148,222,208,Tales from the Flat Earth #1,
https://swordandlaser.fandom.com/wiki/Book_List,Soulless,https://swordandlaser.fandom.com/wiki/Soulless,Orbit,43939,Apr,2018,107a,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2009,March Madness,3.91,92893,9983,357,Parasol Protectorate #1,
https://swordandlaser.fandom.com/wiki/Book_List,We are Legion We are Bob,https://swordandlaser.fandom.com/wiki/We_are_Legion_We_are_Bob,Worldbuilders Press,43939,Apr,2018,107,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2016,March Madness,4.29,48915,4143,383,Bobiverse #1,
https://swordandlaser.fandom.com/wiki/Book_List,An Unkindness of Ghosts,https://swordandlaser.fandom.com/wiki/An_Unkindness_of_Ghosts,Akashic Books,43908,Mar,2018,106,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2017,Tom,4,7724,1544,351,,
https://swordandlaser.fandom.com/wiki/Book_List,A Wrinkle in Time,https://swordandlaser.fandom.com/wiki/A_Wrinkle_in_Time,"Farrar, Straus and Giroux",43879,Feb,2018,105,https://swordandlaser.fandom.com/wiki/Book_List,,1962,Veronica,4,1024883,33223,211,"Time Quintet #1, Kairos #1, Glencoe Literature Library                  ,                      more",
https://swordandlaser.fandom.com/wiki/Book_List,"Frankenstein, or the Modern Prometheus","https://swordandlaser.fandom.com/wiki/Frankenstein,_or_the_Modern_Prometheus",Public Domain,43848,Jan,2018,104,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1818,Tom,3.8,1118537,31239,345,,
https://swordandlaser.fandom.com/wiki/Book_List,California Bones,https://swordandlaser.fandom.com/wiki/California_Bones,Tor Books,44182,Dec,2017,103,https://swordandlaser.fandom.com/wiki/Book_List,May,2014,Veronica,3.73,2183,398,304,Daniel Blackland #1,
